Date,City,State,Lat,Lon,AreaType,School,Fatalities,Wounded,Dupe,Source,Desc,Year
4/28/1998,Pomona,California,34.055103,-117.7499909,urban,ES,2,,,Pah,,1998
5/1/1998,Buffalo,New York,42.8864468,-78.8783689,urban,ES,1,,,Pah,,1998
5/19/1998,Fayetteville,Tennessee,35.1520266,-86.5705508,suburban,HS,1,,TRUE,Pah,,1998
5/21/1998,Springfield,Oregon,44.0462362,-123.0220289,urban,HS,4,,TRUE,Pah,,1998
5/21/1998,Springfield,Oregon,44.0462362,-123.0220289,,HS,4,23,,Wikp,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 23 others.[302] After pleading guilty, he was sentenced to 111 years of prison.[306]",1998
5/27/1998,Pasadena,California,34.1477849,-118.1445155,urban,MS,0,,,Pah,,1998
5/29/1998,Fort Lauderdale,Florida,26.1224386,-80.1373174,urban,HS,2,,,Pah,,1998
6/15/1998,Richmond,Virginia,37.5407246,-77.4360481,urban,HS,0,,TRUE,Pah,,1998
9/4/1998,San Bernardino,California,34.1083449,-117.2897652,urban,C,2,,,Pah,,1998
9/12/1998,Glendale,California,34.1425078,-118.255075,urban,HS,0,,,Pah,,1998
12/10/1998,Detroit,Michigan,42.331427,-83.0457538,urban,C,1,,TRUE,Pah,,1998
1/8/1999,Carollton,Georgia,33.5801103,-85.0766113,suburban,HS,2,,TRUE,Pah,,1999
1/21/1999,North Richland Hills,Texas,32.8342952,-97.2289029,urban,HS,1,,,Pah,,1999
2/11/1999,Elgin,Illinois,42.0354084,-88.2825668,urban,HS,0,,,Pah,,1999
4/16/1999,Notus,Idaho,43.7254385,-116.8012557,rural,HS,0,,TRUE,Pah,,1999
4/20/1999,Littleton,Colorado,39.613321,-105.0166498,suburban,HS,15,,TRUE,Pah,,1999
4/23/1999,Atlanta,Georgia,33.7489954,-84.3879824,urban,MS,1,,,Pah,,1999
5/20/1999,Conyers,Georgia,33.6676103,-84.0176904,suburban,HS,0,,TRUE,Pah,,1999
8/25/1999,Monticello,Georgia,33.3048479,-83.6832289,suburban,HS,1,,,Pah,,1999
9/7/1999,Plano,Texas,33.0198431,-96.6988856,urban,HS,1,,,Pah,,1999
9/9/1999,San Jose,California,37.3382082,-121.8863286,urban,HS,1,,,Pah,,1999
11/19/1999,Deming,New Mexico,32.2686981,-107.7586404,suburban,MS,0,,TRUE,Pah,,1999
12/6/1999,Fort Gibson,Oklahoma,35.7975986,-95.2505173,suburban,MS,0,,TRUE,Pah,,1999
1/19/2000,New Port Richey,Florida,28.2441768,-82.7192671,suburban,HS,0,,,Pah,,2000
2/29/2000,Flint,Michigan,43.0125274,-83.6874562,urban,ES,1,,TRUE,Pah,,2000
5/10/2000,Sierra Vista,Arizona,31.5455001,-110.2772856,urban,ES,2,,,Pah,,2000
5/26/2000,Lake Worth,Florida,26.6167555,-80.0684479,suburban,MS,1,,TRUE,Pah,,2000
